1	first-order administrative division	a primary administrative division of a country, such as a state in the United States	has_hypernym;6	108654360-n;DGM_equivalent	A.ADM1
2	second-order administrative division	a subdivision of a first-order administrative division	has_hypernym;6	108491826-n;DGM_hyponym	A.ADM2
3	third-order administrative division	a subdivision of a second-order administrative division	has_hypernym;6	108491826-n;DGM_hyponym	A.ADM3
4	fourth-order administrative division	a subdivision of a third-order administrative division	has_hypernym;6		A.ADM4
5	fifth-order administrative division	a subdivision of a fourth-order administrative division	has_hypernym;6		A.ADM5
6	administrative division	an administrative division of a country, undifferentiated as to administrative level		108491826-n;DGM_equivalent	A.ADMD
7	leased area	a tract of land leased to another country, usually for military installations		108497294-n;DGM_hyponym	A.LTER
8	political entity			108359949-n;DGM_equivalent	A.PCL
9	dependent political entity			108359949-n;DGM_hyponym	A.PCLD
10	freely associated state			108627316-n;DGM_equivalent	A.PCLF
11	independent political entity			108359949-n;DGM_equivalent	A.PCLI
12	section of independent political entity		meronym;11		A.PCLIX
13	semi-independent political entity			108359949-n;DGM_hyponym	A.PCLS
14	parish	an ecclesiastical district		108223688-n;DGM_equivalent	A.PRSH
15	territory			108552138-n;DGM_equivalent	A.TERR
16	zone			108688247-n;DGM_equivalent	A.ZN
17	buffer zone	a zone recognized as a buffer between two nations in which military presence is minimal or absent	has_hypernym;16		A.ZNB
18	seaplane landing area	a place on a waterbody where floatplanes land and take off		103638321-n;DGM_hyponym	H.AIRS
19	anchorage	an area where vessels may anchor		108639776-n;DGM_equivalent	H.ANCH
20	bay	a coastal indentation between two capes or headlands, larger than a cove but smaller than a gulf		109215664-n;DGM_equivalent	H.BAY
21	bays	coastal indentations between two capes or headlands, larger than a cove but smaller than a gulf		109215664-n;DGM_equivalent	H.BAYS
22	bight	an open body of water forming a slight recession in a coastline		109220239-n;DGM_equivalent	H.BGHT
23	bank	an elevation, typically located on a shelf, over which the depth of water is relatively shallow but sufficient for most surface navigation		109213565-n;DGM_equivalent	H.BNK
24	stream bank	a sloping margin of a stream channel which normally confines the stream to its channel on land	meronym;153		H.BNKR
25	section of bank		meronym;153		H.BNKX
26	bog	a wetland characterized by peat forming sphagnum moss, sedge, and other acid-water plants		109225943-n;DGM_equivalent	H.BOG
27	icecap	a dome-shaped mass of glacial ice covering an area of mountain summits or other high lands; smaller than an ice sheet	meronym;62	109308743-n;DGM_equivalent	H.CAPG
28	channel	the deepest part of a stream, bay, lagoon, or strait, through which the main current flows		109241247-n;DGM_equivalent	H.CHN
29	lake channel	that part of a lake having water deep enough for navigation between islands, shoals, etc.	has_hypernym;153		H.CHNL
30	marine channel	that part of a body of water deep enough for navigation through an area otherwise not suitable	has_hypernym;153		H.CHNM
31	navigation channel	a buoyed channel of sufficient depth for the safe navigation of vessels	has_hypernym;153		H.CHNN
32	confluence	a place where two or more streams or intermittent streams flow together	meronym;153	108542634-n;DGM_equivalent	H.CNFL
33	canal	an artificial watercourse	has_hypernym;153	102947212-n;DGM_equivalent	H.CNL
34	aqueduct	a conduit used to carry water		102732433-n;DGM_equivalent	H.CNLA
35	canal bend	a conspicuously curved or bent section of a canal	meronym;153		H.CNLB
36	drainage canal	an artificial waterway carrying water away from a wetland or from drainage ditches	has_hypernym;153		H.CNLD
37	irrigation canal	a canal which serves as a main conduit for irrigation water	has_hypernym;153		H.CNLI
38	navigation canal	a watercourse constructed for navigation of vessels	has_hypernym;153		H.CNLN
39	abandoned canal		has_hypernym;153		H.CNLQ
40	underground irrigation canal	a gently inclined underground tunnel bringing water for irrigation from aquifers	has_hypernym;153		H.CNLSB
41	section of canal		meronym;153		H.CNLX
42	cove	a small coastal indentation, smaller than a bay		109257761-n;DGM_equivalent	H.COVE
43	tidal creek	a meandering channel in a coastal wetland subject to bi-directional tidal currents	has_hypernym;153	109229409-n;DGM_hyponym	H.CRKT
44	current	a horizontal flow of water in a given direction with uniform velocity		107406765-n;DGM_equivalent	H.CRNT
45	cutoff	a channel formed as a result of a stream cutting through a meander neck	has_hypernym;153	103006105-n;DGM_hyponym	H.CUTF
46	dock	a waterway between two piers, or cut into the land for the berthing of ships		103216828-n;DGM_equivalent	H.DCK
47	docking basin	a part of a harbor where ships dock		108639058-n;DGM_hyponym	H.DCKB
48	icecap dome	a comparatively elevated area on an icecap	meronym;62	109308743-n;DGM_equivalent	H.DOMG
49	icecap depression	a comparatively depressed area on an icecap	meronym;62	109366017-n;DGM_hyponym	H.DPRG
50	ditch	a small artificial watercourse dug for draining or irrigating the land	has_hypernym;153	103214253-n;DGM_equivalent	H.DTCH
51	drainage ditch	a ditch which serves to drain the land	has_hypernym;153	103232309-n;DGM_equivalent	H.DTCHD
52	irrigation ditch	a ditch which serves to distribute irrigation water	has_hypernym;153	103587205-n;DGM_equivalent	H.DTCHI
53	ditch mouth	an area where a drainage ditch enters a lagoon, lake or bay	meronym;153	109362316-n;DGM_hyponym	H.DTCHM
54	estuary	a funnel-shaped stream mouth or embayment where fresh water mixes with sea water under tidal influences	meronym;153	109274500-n;DGM_equivalent	H.ESTY
55	fishing area	a fishing ground, bank or area where fishermen go to catch fish		108497294-n;DGM_hyponym	H.FISH
56	fjord	a long, narrow, steep-walled, deep-water arm of the sea at high latitudes, usually along mountainous coasts		109281104-n;DGM_equivalent	H.FJD
57	fjords	long, narrow, steep-walled, deep-water arms of the sea at high latitudes, usually along mountainous coasts		109281104-n;DGM_equivalent	H.FJDS
58	waterfall	a perpendicular or very steep descent of the water of a stream		109475292-n;DGM_equivalent	H.FLLS
59	section of waterfall		meronym;58		H.FLLSX
60	mud flat	a relatively level area of mud either between high and low tide lines, or subject to flooding	has_hypernym;549	108600618-n;DGM_equivalent	H.FLTM
61	tidal flat	a large flat area of mud or sand attached to the shore and alternately covered and uncovered by the tide	has_hypernym;549	109281411-n;DGM_hyponym	H.FLTT
62	glacier	a mass of ice, usually at high latitudes or high elevations, with sufficient thickness to flow away from the source area in lobes, tongues, or masses		109289331-n;DGM_equivalent	H.GLCR
63	gulf	a large recess in the coastline, larger than a bay		109296121-n;DGM_equivalent	H.GULF
64	geyser	a type of hot spring with intermittent eruptions of jets of hot water and steam		109288635-n;DGM_equivalent	H.GYSR
65	harbor	a haven or space of deep water so sheltered by the adjacent land as to afford a safe anchorage for ships		108639058-n;DGM_equivalent	H.HBR
66	section of harbor		meronym;65		H.HBRX
67	inlet	a narrow waterway extending into the land, or connecting a bay or lagoon with a larger body of water	meronym;153	109313716-n;DGM_equivalent	H.INLT
68	former inlet	an inlet which has been filled in, or blocked by deposits	meronym;153	109313716-n;DGM_hyponym	H.INLTQ
